,Ticker,Book/Price,E/P,EBIT/P,SALES/P,RetYTD
0,AIR,0.7604880266451778,0.027940754673539986,0.05112065450047121,1.288864867817987,0.2944
1,AAL,-0.3372725016384924,-0.1713200905304528,-0.37843644085681544,2.56868386614701,0.0579
2,PNW,0.7409129343717017,0.0776163439698045,0.10102343218632541,0.4771783129111412,0.0985
3,ABT,0.1442018967610064,0.028480297525196253,0.03611290448464285,0.17349580199375314,-0.1638
4,AMD,0.04316377766250036,0.018205130714796073,0.021175986960474368,0.09461831694084713,-0.3533
5,APD,0.20099832999613343,0.031161369490822075,0.032881917689567386,0.15324606605390706,-0.1887
6,ALK,0.579447001149107,0.07286915720843808,-0.03658702453980154,0.9415060981575597,0.0962
7,ATRI,0.19243104251046989,0.02603729946533542,0.028390148156999525,0.1299769701248081,0.0397
8,MATX,0.45171934558399235,0.2512441652240581,0.30645611354480756,1.0634124668470943,-0.0289
9,ALX,0.19000910293066825,0.09999608079755544,0.05731889993629227,0.15507403945124845,0.0065
10,HON,0.13004626282519902,0.03881288106937654,0.04740606134222479,0.24086117028834317,-0.0639
11,SWKS,0.20655776750558658,0.05842545979000214,0.06600599064709112,0.19922680145037705,-0.2411
12,HES,0.2747441762667751,0.024378094370337666,0.08756925491169594,0.3258989252764461,0.5496
13,ABM,0.5853154565509664,0.04593918851751619,0.1478201600436942,2.2655330926381736,0.2069
14,PRI,0.34513341062155845,0.0618762219806816,0.10601111444823777,0.4490821887366684,-0.1257
15,ECOL,0.6250967445956691,0.005343605765447245,0.03694767471548328,0.9892238785586741,0.5009
16,AEP,0.5000742130890258,0.05546398416573671,0.07517430722322814,0.3743222628154218,0.1469
17,AXP,0.1781290863585104,0.06473916382060665,0.08129343387448634,0.3507079540817802,0.1073
18,AFL,0.8732866992370786,0.11358268349322963,0.11988553760614873,0.5524714248894963,0.1189
19,AIG,1.4064497647892304,0.20167326590156398,0.24321950538320272,1.1180535574257349,0.1085
20,ANAT,1.377565125091025,0.13773449310992517,0.137043383345048,0.8278179333975332,0.0017
21,AMSWA,0.21690620762629895,0.014335648156229888,0.0077287379910147775,0.19744169734074166,-0.2831
22,AVD,0.7362901472041022,0.03671593710886104,0.06653788269085249,1.100020300730923,0.3636
23,AME,0.20173698428545234,0.029064854194681536,0.03841845107176473,0.16282827353561866,-0.1359
24,AMGN,0.05334363008705259,0.04691850926910461,0.07383713812348144,0.20683793522858795,0.1291
25,ADI,0.4114533191305945,0.01505805394364503,0.020463164316574668,0.07925589883001147,-0.1096
26,ANDE,0.8182191332482666,0.07933732875488193,0.12889855371389924,6.119348181594341,0.5084
27,NBR,0.8877460204951291,-0.5212132484152764,-0.3302519924108368,3.032340665561523,1.4071
28,APA,-0.17097270279948312,0.10429870835354049,0.2934942070626864,0.8660115773774447,0.6244
29,APOG,0.6048774770336954,0.018948723448217887,0.09168083769954347,1.5108574859585981,-0.0442
30,AAPL,0.021629094260291276,0.03245906870445994,0.03735089856656323,0.12541274964363566,-0.0692
31,AMAT,0.08725102076641261,0.04194774314302584,0.051786369719200885,0.1643072011052318,-0.2796
32,ADM,0.5938378458351827,0.07157123834886818,0.08026335256694778,2.252261534884704,0.4338
33,ARCB,0.3117350260834448,0.07164389059601,0.09104959032868377,1.335454052354521,-0.4229
34,ARW,0.5779808285690564,0.12125726039112593,0.17202941683277798,3.7724238101488594,-0.1877
35,ASH,0.44845533860659453,0.03585035410372485,0.032102362538335434,0.34400044324074164,-0.0134
36,ATRO,0.6793210072643328,-0.06771395895546095,-0.09960925090539424,1.1778279009678718,-0.0025
37,REX,0.8740454810851654,0.006816856484659097,-0.008631807611364402,0.8469302475438873,-0.0482
38,ADSK,0.014399129615491491,0.018018672606356107,0.009702821054208974,0.056528701081883945,-0.3004
39,ADP,0.054271822530326745,0.02487175373362975,0.03152783129621052,0.14362540445434205,-0.0705
40,AVY,0.10756858572522766,0.041369523121617645,0.05949139772779037,0.4700004881279524,-0.2312
41,AVT,0.9945537655224945,0.04702585776622968,0.08907697911611302,4.756957217824466,-0.0994
42,AZZ,0.523280742537936,0.033257675912570346,0.06851766305479386,0.7043073081119245,-0.1637
43,BMI,0.12931842098508764,0.019533636200302868,0.025256987756987755,0.16208452041785373,-0.1197
44,BCPC,0.16110972538297444,0.017654531619419708,0.023812418433855818,0.1467824109105094,-0.2087
45,BLL,0.11742556585690192,0.02842559879304105,0.04639394427155789,0.4471366115383712,-0.0947
46,BPOP,0.907842428927583,0.14270987930525234,0.2904634345144086,0.42203863716161594,-0.015
47,BOH,0.4246098892508703,0.07514908509313739,0.1209574251835175,0.207044372234822,-0.0606
48,BK,0.8178184632114526,0.080484333522145,0.15972682311125344,0.3459605908621492,-0.1858
49,B,0.6050467682680736,0.04229372471575984,0.06474383157228053,0.5330898859905621,-0.2286
50,BAX,0.21080558444871714,0.02981980504926218,0.04881715748718777,0.2968974982474826,-0.1095
51,AIT,0.23575376760178476,0.03659552251227452,0.06576636849309984,0.818061624739369,-0.0465
52,BDX,0.33093363011944,0.02924237187792475,0.04780540718092861,0.28303037561387206,0.0803
53,VZ,0.37498114084181966,0.10116100834667748,0.14552697606799167,0.6125731161669892,0.036
54,BBY,0.1788580922661324,0.07010831695977895,0.10161416796283869,1.8428583293398626,-0.0764
55,BKH,0.610050113412196,0.051819459282556275,0.08961743230915137,0.42662712350280896,0.1145
56,HRB,0.12244433103744147,0.20284249607883914,0.2674125872609696,1.186215006159238,0.1367
57,BA,-0.12650896198072983,-0.03544173999886838,-0.00856944498782729,0.5252327542145483,-0.0963
58,RHI,0.11188304120143294,0.048496469299286554,0.060152534198425665,0.5234607594308622,-0.0265
59,BRC,0.343152837219548,0.046200996981447445,0.06067927391825995,0.4078867555871088,-0.1666
60,BMY,0.26494469078730126,0.05155019104674748,0.06504581584036982,0.3418867045615359,0.2431
61,CAL,0.33702089931145723,-0.5212132484152764,-0.10946569143166433,3.563083768072964,-0.0542
62,BC,0.24701072471608473,0.07656016245640636,0.10813655172504388,0.7544008456980328,-0.2484
63,MTRN,0.3832149837122462,0.03855022309916347,0.05544553364223725,0.803538692819669,-0.1046
64,MTZ,0.3601100937642373,0.04662372731279711,0.059528973583019444,1.1274535217028843,-0.1358
65,UIS,-0.0822539759705535,-0.3244582957149802,0.12703428478829548,1.4862143204389193,-0.0992
66,CI,0.6352875087608713,0.07234499669939876,0.11382369378184995,2.3500190036889133,0.1288
67,CNA,1.0708321643826573,0.10048717788960528,0.10324597728258113,0.9652453876151269,0.1055
68,CSX,0.16294791264762706,0.0456713163617997,0.06113264536024022,0.1512552825925564,-0.0676
69,CTS,0.3923264614380303,-0.03543123192766822,0.06615195325223604,0.43408887012132086,-0.0659
70,CBT,0.2970460945903922,0.07841765960675613,0.1508755770833988,1.0664801706518834,0.1941
71,CACI,0.4203050978771499,0.07214082879913651,0.08507386108547511,0.9531874097403807,0.0933
72,CAMP,0.27208213266379694,-0.16112607465074136,0.0005608465899153832,0.883010033888869,-0.1374
73,CWT,0.3050736556633928,0.026197970972135214,0.03356837664983357,0.20489701877478853,-0.2246
74,CPB,0.24015384474724416,0.07634332247358461,0.09920060465130454,0.6457944124611807,0.063
75,CAH,0.11953076665872464,0.04077794440451187,0.12740604888414592,6.119348181594341,0.2228
76,CSL,0.20380182045908307,0.032684247076476644,0.04692208484728233,0.37282673396247473,-0.0154
