dateff,mktrf,smb,hml,rf,umd
20160129,-0.057700,-0.033900,0.020700,0.00010,0.013400
20160229,-0.000800,0.008100,-0.005700,0.00020,-0.040600
20160331,0.069600,0.007500,0.011000,0.00020,-0.051300
20160429,0.009200,0.006700,0.032100,0.00010,-0.062600
20160531,0.017800,-0.001900,-0.016500,0.00010,0.021400
20160630,-0.000500,0.005900,-0.014500,0.00020,0.041100
20160729,0.039500,0.025100,-0.012900,0.00020,-0.030800
20160831,0.005000,0.011700,0.031100,0.00020,-0.031700
20160930,0.002500,0.021300,-0.012100,0.00020,-0.005300
20161031,-0.020200,-0.044100,0.041200,0.00020,0.006900
20161130,0.048600,0.056700,0.082100,0.00010,-0.040700
20161230,0.018100,0.000900,0.036000,0.00030,-0.003800
20170131,0.019400,-0.011300,-0.027400,0.00040,-0.009800
20170228,0.035700,-0.020400,-0.016700,0.00040,-0.016300
20170331,0.001700,0.011300,-0.033300,0.00030,-0.009200
20170428,0.010900,0.007200,-0.021300,0.00050,0.004400
20170531,0.010600,-0.025200,-0.037500,0.00060,0.014600
20170630,0.007800,0.022300,0.014900,0.00060,-0.003200
20170731,0.018700,-0.014600,-0.002200,0.00070,0.016600
20170831,0.001600,-0.016500,-0.020700,0.00090,0.035500
20170929,0.025100,0.044500,0.030900,0.00090,-0.011800
20171031,0.022500,-0.019300,0.002200,0.00090,0.043000
20171130,0.031200,-0.005600,-0.000500,0.00080,-0.007100
20171229,0.010600,-0.013200,0.000300,0.00090,-0.016300
20180131,0.055800,-0.031800,-0.013600,0.00110,0.039400
20180228,-0.036500,0.002600,-0.010300,0.00110,0.039700
20180329,-0.023500,0.040600,-0.002300,0.00120,-0.012800
20180430,0.002900,0.011000,0.004800,0.00140,0.002700
20180531,0.026500,0.053100,-0.031300,0.00140,0.038000
20180629,0.004800,0.011300,-0.023300,0.00140,-0.023800
20180731,0.031900,-0.022500,0.004500,0.00160,-0.016700
20180831,0.034400,0.011400,-0.039800,0.00160,0.052200
20180928,0.000600,-0.023000,-0.017000,0.00150,-0.000600
20181031,-0.076800,-0.048200,0.034300,0.00190,-0.018400
20181130,0.016900,-0.006800,0.002600,0.00180,-0.013300
20181231,-0.095500,-0.024200,-0.019000,0.00190,0.018500
20190131,0.084100,0.029000,-0.004400,0.00210,-0.086500
20190228,0.034000,0.020400,-0.026800,0.00180,0.008600
20190329,0.011000,-0.029800,-0.040500,0.00190,0.021400
20190430,0.039600,-0.017400,0.021700,0.00210,-0.025500
20190531,-0.069400,-0.013400,-0.023700,0.00210,0.076000
20190628,0.069300,0.002500,-0.007100,0.00180,-0.021400
20190731,0.011900,-0.019400,0.004200,0.00190,0.027200
20190830,-0.025800,-0.023200,-0.049500,0.00160,0.076400
20190930,0.014300,-0.009700,0.068300,0.00180,-0.068500
20191031,0.020600,0.002800,-0.019300,0.00150,0.002900
20191129,0.038700,0.008000,-0.020200,0.00120,-0.026000
20191231,0.027700,0.007200,0.017900,0.00140,-0.022700
20200131,-0.001100,-0.031300,-0.062400,0.00130,0.054300
20200228,-0.081300,0.010300,-0.037900,0.00120,-0.002300
20200331,-0.133800,-0.048900,-0.140200,0.00120,0.085400
20200430,0.136500,0.024700,-0.011800,0.00000,-0.054900
20200529,0.055800,0.024500,-0.048000,0.00010,0.006700
20200630,0.024600,0.026900,-0.020400,0.00010,-0.007500
20200731,0.057700,-0.022700,-0.014600,0.00010,0.076100
20200831,0.076300,-0.002200,-0.029300,0.00010,0.005100
20200930,-0.036300,-0.000400,-0.026600,0.00010,0.030500
20201030,-0.021000,0.043900,0.041900,0.00010,-0.030300
20201130,0.124700,0.057400,0.019900,0.00010,-0.122500
20201231,0.046300,0.048300,-0.015600,0.00010,-0.024200
