at,sale,gsector
62008,17337,20
419.314,316.011,20
20020.421,3586.982,55
1317.404,2484.595,40
72548,34608,35
8962,9763,45
25168.5,8856.3,15
14046,3566,20
266.89,147.591,35
2900.6,2383.3,20
1404.138,209.979,60
423.937,92.507,30
28927.01,8943.519,40
64586,32637,20
5106.7,3355.7,45
18821,4667,10
3776.9,5987.6,20
14905.285,2217.541,40
1831.283,933.854,20
80757.2,14918.5,55
191367,38185,40
165086,22715,40
586481,43358,40
29467.815,3792.399,40
680.293,458.704,15
10357.483,4540.029,20
62948,25424,35
21468.603,5603.056,45
4272.121,8208.436,30
5503.428,2134.043,10
12746,4212,10
1015.099,1230.774,20
323888,274515,45
22353,17202,45
824.294,493.292,20
316.833,208.626,15
49719,64355,30
1779.008,2940.163,20
17053.911,28673.363,45
6877,2326,15
619.745,502.587,20
479.345,372.846,10
7279.8,3790.4,45
39165.5,14589.8,45
6083.9,6971.5,15
8105.197,17634.333,45
996.442,838.917,20
365.741,22.078,60
468.38,425.544,45
1165.843,703.644,15
1722.827,470.191,40
18252,11781,15
65926,2603.863,40
20603.651,730.833,40
469633,16940,40
2676.226,1124.391,20
20019,11673,35
2283.551,3245.652,20
54012,17117,35
453.866,465.771,45
316481,128292,50
19067,47262,25
12972.618,2513.654,35
8088.786,1696.941,55
152136,58656,20
2557.424,5109,20
1142.466,1081.299,20
118481,42518,35
1867.05,2117.07,25
3770.6,4347.5,25
1057.86,1176.274,15
5227.849,6320.975,20
2707.9,2025.3,45
1288.321,443.026,45
155451,160216,35
64026,10687,40
39793,10583,20
626.049,424.066,45
183.817,179.917,45
2781,2614,15
5542.472,5720.042,20
433.805,308.587,45
3394.248,794.307,55
12372,8691,30
27104.8,8614.9,30
40766,152922,35
5866.4,4245.2,20
3227.2,2181.1,15
78324,41748,20
591.452,575.111,25
951.833,1108.051,25
59394,20712,50
3359.855,4577.531,35
2071.754,1016.048,35
1434.911,2079.583,35
3386071,129503,40
1932.487,488.198,55
239790,94471,10
2356,3078.5,25
7414.5,4895.8,30
2686.4,1054,25
2668.6,1559.8,50
9202.961,2948.218,50
16771,5354,15
6213,6721,30
3222.45,5007.357,30
87296,33014,30
1403.977,785.461,15
1827.496,1228.999,45
1090.346,636.007,45
15920,16471,30
346.83,261.162,15
32114,11066,40
273869,103564,50
88129,3094,40
32922.974,1389.547,40
2260090,88842,40
4081.728,5476.486,15
17538,5402,20
22038,17729,45
929.647,616.715,45
729.644,666.686,25
62895,12246,55
1017.968,433.683,25
665.931,56.381,60
29666,6680,55
14633.098,2586.47,10
2971.573,2521.074,25
6737.5,2430.9,35
27331.1,9684.3,30
30775,11408,45
7107.398,748.287,60
2544.258,2522.792,25
4588.9,2936.9,20
22471,4933,40
16670,11575,15
42391.317,1485.731,40
22624,19811,20
4021.334,2391.336,20
5040.006,1733.825,25
7376,7106,25
76161,22284,35
51248,93561,25
75091,35540,20
71996,17095,20
1874.863,1790.781,20
45496,12177,55
2228.687,1052.001,25
3657.4,3902.3,45
3092.515,4433.185,25
1979.457,1229.215,45
201549,65388,50
25862.624,33746.839,25
95905,14172,55
2244.6,2588.6,20
9152.074,6683.76,20
70904,20397,15
27647.2,13171.1,50
837.347,628.941,20
162388,24020,55
9219.4,1738.1,20
5314.677,3728.134,20
1944.165,3199.165,20
7960.315,3782.745,35
275.528,240.403,20
